datetime,open,close,high,low,volume
20240625,194.51,194.47,194.94,192.82,20499.0
20240626,194.0,192.35,194.99,192.03,20089.0
20240627,192.47,194.0,194.01,191.79,27719.0
20240628,194.01,195.17,197.89,193.5,50369.0
20240701,198.43,194.16,198.44,192.74,18200.0
20240702,194.6,198.53,199.05,194.45,30382.0
20240703,199.17,199.03,199.57,196.09,17693.0
20240705,199.44,198.5,200.15,197.24,18197.0
20240708,199.33,202.0,202.14,198.8,23691.0
20240709,202.59,200.16,203.35,199.08,28739.0
20240710,201.57,203.15,203.78,201.0,32179.0
20240711,203.94,199.8,205.04,199.55,38498.0
20240712,199.5,202.42,205.29,199.5,23774.0
20240715,203.0,201.94,203.08,200.83,19645.0
20240716,201.88,206.6,207.03,201.88,20172.0
20240717,203.7,207.21,210.84,202.9,55384.0
20240718,205.89,206.18,207.0,203.28,27771.0
20240719,207.83,199.1,207.83,198.74,32273.0
20240722,201.35,200.0,206.0,199.55,41182.0
20240723,200.89,204.25,209.4,193.3,39811.0
20240724,202.56,199.95,207.5,196.91,77992.0
20240725,195.55,198.0,201.73,194.12,55296.0
20240726,199.13,202.42,204.38,199.0,38590.0
20240729,202.52,201.9,205.59,200.76,24038.0
20240730,203.84,203.99,204.49,199.71,44698.0
20240731,203.74,203.81,205.78,199.49,51884.0
20240801,203.19,192.99,204.12,189.99,56754.0
20240802,190.5,187.46,193.13,186.07,52484.0
20240805,181.0,185.5,188.74,178.4,63834.0
20240806,183.67,183.12,190.32,181.7,40240.0
20240807,189.17,184.13,191.52,183.57,35631.0
20240808,185.15,193.3,194.06,185.15,45452.0
20240809,194.85,192.21,195.51,189.97,22089.0
20240812,192.79,192.06,193.63,190.78,33704.0
20240813,194.07,197.25,197.71,193.4,29148.0
20240814,195.87,195.0,197.38,193.45,21456.0
20240815,198.5,201.95,203.16,198.44,35926.0
20240816,203.87,200.55,205.5,198.18,29611.0
20240819,200.01,201.91,201.91,198.0,26715.0
20240820,200.6,202.51,204.45,198.09,51225.0
20240821,204.37,208.4,210.88,202.78,57315.0
20240822,208.99,204.58,209.89,202.8,46004.0
20240823,205.61,209.88,210.51,205.32,44955.0
20240826,208.5,208.25,210.01,207.55,37002.0
20240827,207.15,210.75,211.11,207.15,32091.0
20240828,210.48,207.2,211.27,205.74,27696.0
