datetime,open,close,high,low,volume
20240625,172.37,172.01,173.41,170.47,34176.0
20240626,170.75,171.88,172.35,170.15,35704.0
20240627,171.89,169.3,171.89,167.75,35292.0
20240628,169.3,170.75,171.82,169.05,141725.0
20240701,171.53,170.37,173.88,169.53,31986.0
20240702,169.7,165.97,170.37,165.45,41451.0
20240703,166.95,164.0,167.1,163.52,24732.0
20240705,164.0,167.01,167.31,163.63,38365.0
20240708,167.01,166.51,167.72,165.62,21145.0
20240709,166.67,168.3,168.53,164.86,22745.0
20240710,168.58,168.45,168.6,166.11,22506.0
20240711,168.25,170.0,170.35,167.35,24479.0
20240712,170.45,170.3,171.63,169.9,30133.0
20240715,169.9,168.03,170.37,167.42,15630.0
20240716,167.93,168.56,169.85,167.26,25852.0
20240717,168.26,175.5,175.74,168.2,52368.0
20240718,175.4,171.14,176.68,170.72,38375.0
20240719,172.3,172.32,173.85,171.22,32006.0
20240722,172.32,173.61,174.73,172.0,20405.0
20240723,173.16,173.5,174.59,172.61,19034.0
20240724,172.61,175.99,176.76,172.61,37212.0
20240725,176.02,182.71,186.11,171.2,67574.0
20240726,182.42,185.0,186.85,182.11,47322.0
20240729,185.23,181.6,186.13,180.53,39734.0
20240730,182.61,186.8,187.71,181.85,41770.0
20240731,186.11,185.5,187.5,183.45,38265.0
20240801,185.3,190.0,190.97,185.01,45285.0
20240802,189.72,189.99,193.91,186.46,36899.0
20240805,183.35,186.01,189.29,183.04,46053.0
20240806,184.79,185.71,187.82,183.08,31644.0
20240807,186.2,187.51,189.59,185.97,40456.0
20240808,187.51,190.4,190.71,186.92,44483.0
20240809,190.4,190.27,191.01,188.1,20729.0
20240812,190.27,190.18,190.57,187.7,37314.0
20240813,190.25,191.0,191.94,189.37,24197.0
20240814,191.0,193.48,193.48,190.47,30803.0
20240815,193.49,194.0,195.0,191.29,33836.0
20240816,193.61,193.73,194.31,192.27,25811.0
20240819,192.45,196.5,197.18,192.45,27146.0
20240820,197.15,195.48,197.48,194.13,23218.0
20240821,196.99,196.53,197.34,195.6,32967.0
20240822,196.5,196.37,197.54,195.35,21306.0
20240823,196.6,197.55,197.98,196.22,26465.0
20240826,197.14,197.44,197.97,196.07,25814.0
20240827,197.45,195.92,198.3,195.18,17811.0
20240828,195.53,196.2,196.75,194.03,25932.0
20240829,195.52,195.18,197.9,193.85,32511.0
20240830,195.25,196.5,196.5,194.17,26542.0
20240903,196.11,197.69,199.95,195.42,32298.0
20240904,196.7,197.2,199.88,196.44,24418.0
20240905,196.96,192.81,197.13,192.16,40090.0
20240906,192.86,193.15,194.74,192.75,31076.0
20240909,194.3,196.42,196.61,193.94,23252.0
20240910,196.7,198.51,199.65,192.91,44619.0
20240911,198.98,194.88,199.35,193.0,34613.0
20240912,195.0,193.9,195.07,191.27,26941.0
20240913,193.51,194.21,194.59,191.81,18065.0
20240916,194.6,195.73,196.16,194.22,21439.0
20240917,195.97,193.45,196.08,191.82,21718.0
20240918,193.06,192.94,195.58,191.77,22487.0
20240919,194.01,193.62,194.16,191.96,24749.0
20240920,193.0,193.29,193.83,192.13,87154.0
20240923,193.47,193.83,194.3,192.2,18479.0
20240924,194.09,193.51,195.21,191.58,31459.0
20240925,194.0,190.91,194.57,190.88,32019.0
20240926,191.3,191.9,192.87,189.61,43858.0
20240927,192.25,195.94,196.13,190.27,30570.0
20240930,194.92,198.95,198.95,194.36,26560.0
20241001,197.7,196.96,198.97,196.42,23344.0
20241002,196.43,196.82,197.04,194.45,19694.0
20241003,196.57,195.48,197.05,194.74,16499.0
20241004,195.78,194.29,195.78,193.04,20447.0
20241007,194.0,192.88,195.1,192.83,24066.0
20241008,193.8,193.6,195.0,192.24,26486.0
20241009,193.46,194.75,194.89,191.95,33773.0
20241010,193.7,194.5,194.82,193.27,21810.0
20241011,194.0,194.19,195.24,193.58,20439.0
20241014,194.3,195.76,196.34,193.66,22695.0
20241015,194.0,191.9,196.25,191.21,39153.0
20241016,191.43,190.3,191.88,188.73,29481.0
20241017,190.46,188.57,191.62,188.45,32416.0
20241018,189.2,188.86,189.69,188.16,35635.0
20241021,188.86,186.54,189.38,185.89,21725.0
20241022,186.44,188.65,189.1,186.23,27758.0
20241023,188.68,187.81,189.47,187.5,29263.0
20241024,188.2,189.65,190.47,187.92,51607.0
20241025,189.9,187.85,190.0,187.17,28439.0
