datetime,open,close,high,low,volume
20240625,79.74,79.2,80.75,78.87,112803.0
20240626,79.34,79.1,79.36,78.38,71152.0
20240627,79.03,79.23,79.44,78.68,57262.0
20240628,79.2,77.8,79.35,77.61,79638.0
20240701,77.93,77.12,78.22,76.78,48624.0
20240702,77.15,76.81,77.21,76.28,66555.0
20240703,76.82,76.23,77.04,76.07,32686.0
20240705,76.47,76.05,76.47,75.42,80318.0
20240708,76.32,74.75,76.52,74.47,66850.0
20240709,74.82,73.0,74.85,72.73,95544.0
20240710,73.17,72.51,73.3,72.35,87646.0
20240711,72.55,73.42,73.5,72.08,98757.0
20240712,73.5,74.81,75.06,73.38,82811.0
20240715,75.01,72.99,75.35,72.52,70341.0
20240716,72.99,75.32,75.51,71.55,121560.0
20240717,74.93,75.24,76.13,74.55,89927.0
20240718,75.2,74.35,75.3,73.81,84194.0
20240719,73.99,79.0,79.38,73.99,263821.0
20240722,79.18,76.58,79.18,76.01,125629.0
20240723,76.42,76.38,77.2,76.02,57392.0
20240724,76.13,74.55,76.49,74.02,76491.0
20240725,74.51,73.32,75.77,73.26,115653.0
20240726,73.65,74.16,75.02,73.65,69523.0
20240729,74.15,75.2,75.59,73.72,79238.0
20240730,75.41,78.7,80.8,74.85,106946.0
20240731,78.68,77.95,81.24,77.35,140235.0
20240801,78.0,75.22,78.14,73.83,128531.0
20240802,74.75,75.85,76.67,74.0,90227.0
20240805,73.5,74.3,75.0,71.53,97314.0
20240806,74.49,75.35,75.99,73.84,67853.0
20240807,75.37,74.9,76.83,74.43,49616.0
20240808,74.97,75.84,76.15,74.64,69662.0
20240809,75.84,77.59,78.5,74.75,32732.0
20240812,77.18,77.15,78.4,76.15,97859.0
20240813,77.05,95.92,96.86,77.04,1366824.0
20240814,95.51,94.35,95.91,91.43,393828.0
20240815,93.9,94.82,95.08,92.98,178037.0
20240816,94.51,94.99,95.65,93.18,136895.0
20240819,94.5,92.35,94.89,92.13,111316.0
20240820,92.28,93.11,93.82,91.71,78164.0
20240821,92.56,92.84,93.38,92.22,51101.0
20240822,92.5,92.53,93.2,91.77,65739.0
20240823,92.7,94.14,94.42,92.6,86773.0
20240826,94.12,95.42,95.93,94.0,89034.0
20240827,95.35,98.55,98.72,95.07,126565.0
20240828,98.3,95.01,98.77,94.38,120829.0
20240829,95.73,94.99,95.83,94.27,64114.0
20240830,95.02,94.6,95.93,94.43,46073.0
20240903,94.56,93.22,94.81,93.04,84157.0
20240904,93.02,92.27,93.98,91.97,55912.0
20240905,92.33,91.56,93.02,91.2,62320.0
20240906,91.03,90.96,92.16,90.18,71216.0
20240909,91.5,92.21,92.36,90.41,76079.0
20240910,92.34,93.73,93.73,91.14,59431.0
20240911,93.18,98.12,98.53,92.72,161120.0
20240912,97.77,99.36,99.45,97.27,122891.0
20240913,99.0,98.57,99.51,98.5,79407.0
20240916,98.56,96.34,98.64,95.98,61867.0
20240917,96.48,96.49,96.55,95.2,47722.0
20240918,96.55,96.49,97.6,95.33,70809.0
20240919,96.42,96.82,98.7,96.32,62682.0
20240920,96.71,95.95,97.4,95.32,145522.0
20240923,95.89,95.35,96.36,94.35,51723.0
20240924,93.04,94.5,95.82,92.9,68403.0
20240925,94.12,95.67,95.96,94.0,71850.0
20240926,96.0,97.55,99.15,96.0,72600.0
20240927,97.71,97.49,98.15,97.19,48203.0
20240930,97.41,97.45,97.92,96.41,46222.0
20241001,97.55,97.26,98.15,96.35,53733.0
20241002,97.5,96.55,97.62,95.87,48300.0
20241003,96.21,95.93,96.39,95.31,37694.0
20241004,95.66,96.66,96.75,95.15,54573.0
20241007,95.99,96.08,96.57,95.36,36915.0
20241008,95.06,96.1,96.88,94.73,51680.0
20241009,96.1,95.88,96.56,95.46,24024.0
20241010,95.73,93.97,95.89,93.75,40021.0
20241011,93.97,95.24,95.96,93.65,27657.0
20241014,95.07,94.9,95.55,94.34,30144.0
20241015,94.7,94.99,95.97,94.57,38268.0
20241016,95.2,95.36,95.84,94.09,58549.0
20241017,95.39,95.3,96.19,94.78,38129.0
20241018,95.64,96.9,96.9,94.75,41790.0
20241021,96.99,96.5,97.2,95.89,27800.0
20241022,96.01,92.8,97.19,88.0,50948.0
20241023,92.0,97.75,97.8,90.82,149468.0
20241024,97.51,97.1,99.42,96.85,70918.0
20241025,97.28,97.21,97.96,96.43,67229.0
20241028,97.48,98.0,99.14,97.27,50493.0
20241029,97.85,97.48,98.06,96.35,53471.0
20241030,97.16,97.68,98.15,95.31,63889.0
20241031,97.68,97.38,99.0,95.35,89493.0
20241101,97.5,98.89,99.8,97.1,62864.0
20241104,98.49,97.05,99.47,96.69,53373.0
20241105,97.05,97.1,97.47,96.15,46746.0
20241106,97.19,96.09,98.23,94.78,70138.0
20241107,96.35,96.12,96.69,95.76,45957.0
20241108,96.09,97.4,97.74,95.6,42583.0
20241111,97.59,100.31,101.41,97.54,70768.0
20241112,100.03,98.9,100.54,98.41,60777.0
20241113,98.0,99.9,100.0,96.23,54816.0
20241114,99.8,99.2,100.02,99.14,50086.0
20241115,98.56,98.6,100.22,97.99,63463.0
20241118,98.29,100.36,100.61,97.93,48517.0
20241119,100.0,98.55,100.3,98.2,48776.0
20241120,98.72,98.11,98.78,97.11,38059.0
20241121,98.35,100.02,100.33,98.35,45938.0
20241122,99.7,102.8,102.95,99.27,50294.0
20241125,102.51,101.35,103.32,101.35,64459.0
20241126,101.74,100.85,102.09,100.47,38460.0
20241127,100.72,101.53,102.03,100.43,37709.0
20241129,101.33,102.41,102.5,100.93,24325.0
20241202,102.21,101.21,102.36,99.87,45147.0
20241203,101.13,101.52,102.12,99.89,46790.0
20241204,101.54,100.6,101.99,100.37,36873.0
20241205,100.61,99.3,101.3,99.19,52480.0
20241206,99.25,100.19,100.62,98.43,45266.0
20241209,100.34,99.81,100.63,98.51,49226.0
20241210,99.17,98.16,99.25,97.94,60346.0
20241211,98.35,98.35,99.39,97.95,49488.0
20241212,98.27,97.35,98.97,97.11,48839.0
20241213,97.34,97.48,98.08,96.94,41834.0
20241216,97.8,93.07,97.88,93.07,89884.0
20241217,93.13,92.15,93.94,91.89,63497.0
20241218,92.1,90.25,92.32,89.64,81337.0
20241219,90.05,88.76,91.58,88.61,100125.0
20241220,88.41,88.03,89.16,87.07,177663.0
20241223,88.4,87.4,88.43,86.3,90831.0
20241224,87.79,89.81,90.0,87.17,41710.0
20241226,90.02,91.86,92.05,89.0,56297.0
20241227,91.82,92.25,93.2,90.73,59665.0
