datetime,open,close,high,low,volume
20240625,168.15,167.1,168.96,167.09,30118.0
20240626,167.0,166.62,167.18,164.85,29876.0
20240627,166.63,166.45,167.25,165.27,29786.0
20240628,166.85,164.86,167.17,164.62,48216.0
20240701,165.0,162.68,166.06,162.58,31507.0
20240702,162.79,163.58,164.47,162.32,33426.0
20240703,163.62,162.4,164.13,161.96,20728.0
20240705,163.4,164.37,164.52,162.47,27525.0
20240708,164.54,162.39,164.71,161.92,35264.0
20240709,162.6,161.89,162.94,161.5,41591.0
20240710,162.25,163.6,164.32,160.66,52197.0
20240711,163.99,164.0,164.89,157.5,73421.0
20240712,164.01,166.38,168.03,163.69,46189.0
20240715,166.85,163.95,167.0,163.43,31623.0
20240716,164.42,164.76,165.04,162.84,29106.0
20240717,165.27,169.93,170.23,165.27,47536.0
20240718,169.61,170.1,172.67,168.38,39147.0
20240719,169.99,169.36,170.49,168.47,32835.0
20240722,169.62,167.42,169.71,167.35,31200.0
20240723,168.0,166.5,168.4,166.02,23188.0
20240724,166.11,168.0,168.67,164.95,38379.0
20240725,168.0,171.98,173.49,167.77,41151.0
20240726,171.07,172.55,173.0,170.49,32799.0
20240729,172.01,173.01,173.49,170.85,29403.0
20240730,172.39,172.0,174.52,171.55,32260.0
20240731,173.24,172.22,174.69,172.02,40158.0
20240801,172.0,175.85,175.85,172.0,40965.0
20240802,175.19,177.5,179.95,173.84,45336.0
20240805,175.0,174.04,180.91,173.16,51574.0
20240806,174.25,172.92,176.21,172.25,43609.0
20240807,172.95,171.78,174.39,171.33,33344.0
20240808,171.75,172.76,173.0,169.81,33307.0
20240809,172.27,172.39,172.78,170.39,19253.0
20240812,172.39,171.42,172.87,170.7,26813.0
20240813,171.42,172.34,172.95,170.22,27672.0
20240814,172.54,173.0,174.34,171.54,22972.0
20240815,173.8,172.99,174.3,171.83,30207.0
20240816,172.65,172.62,172.78,171.1,25926.0
20240819,172.81,173.82,173.98,172.44,21382.0
20240820,173.44,176.0,176.35,172.5,39591.0
20240821,175.94,175.5,176.82,174.62,26662.0
20240822,175.2,175.75,176.08,174.7,21755.0
20240823,175.77,175.87,176.68,173.67,32495.0
20240826,175.99,175.9,176.84,175.73,24738.0
20240827,176.24,175.25,176.88,174.52,24508.0
20240828,175.46,175.88,175.88,173.35,24989.0
20240829,174.93,172.09,174.93,171.91,29117.0
20240830,172.51,172.53,173.56,171.25,57787.0
20240903,172.7,177.38,178.0,171.88,43769.0
20240904,177.48,178.51,179.65,176.29,40107.0
20240905,178.43,179.7,179.9,177.52,37357.0
20240906,177.61,176.65,178.58,176.65,36363.0
20240909,177.97,178.0,178.79,175.85,26745.0
20240910,178.1,177.63,179.1,177.16,24108.0
20240911,178.37,175.78,178.37,174.42,25161.0
20240912,175.5,177.47,177.69,173.95,29232.0
20240913,176.97,177.22,178.0,176.36,21725.0
20240916,177.31,177.21,179.43,176.35,26082.0
20240917,176.6,177.0,178.09,176.3,40538.0
20240918,177.16,175.93,178.06,174.43,28867.0
20240919,175.64,174.99,176.22,174.15,32162.0
20240920,173.44,171.4,173.77,170.22,72525.0
20240923,171.2,171.99,173.94,170.72,33348.0
20240924,172.01,169.97,172.01,169.5,58127.0
20240925,169.3,169.2,170.77,168.76,27066.0
20240926,169.49,169.72,171.0,168.58,39689.0
20240927,169.7,169.99,171.65,169.21,50949.0
20240930,170.09,169.76,171.74,169.51,34474.0
20241001,170.24,171.13,171.94,169.77,42728.0
20241002,171.31,169.55,171.74,168.52,38739.0
20241003,169.43,168.36,169.43,167.17,35576.0
20241004,168.65,168.05,168.75,166.82,27830.0
20241007,168.5,167.25,168.54,166.45,36353.0
20241008,167.45,170.26,170.73,165.0,52603.0
20241009,170.3,172.42,173.28,169.1,52027.0
20241010,172.49,173.0,173.08,170.54,32769.0
20241011,172.7,174.26,175.18,172.42,32537.0
20241014,174.47,176.1,176.27,174.1,27811.0
20241015,175.95,175.7,177.39,175.12,32783.0
20241016,175.7,174.3,175.74,173.63,32057.0
20241017,174.05,174.4,175.47,173.69,29923.0
20241018,173.89,175.06,175.33,172.12,29515.0
20241021,174.78,174.73,177.5,174.34,41778.0
20241022,174.6,174.11,174.95,173.5,23769.0
20241023,174.11,172.24,174.11,172.06,24489.0
20241024,172.9,172.03,173.54,171.45,25422.0
20241025,172.84,171.73,174.0,171.6,22523.0
20241028,171.76,169.89,172.98,169.52,30835.0
20241029,170.26,167.56,170.46,166.97,35579.0
20241030,167.51,166.78,167.97,166.0,31034.0
20241031,166.68,165.6,167.51,165.5,37740.0
20241101,166.21,165.71,166.48,165.21,29370.0
20241104,165.82,166.6,167.0,165.18,30025.0
20241105,166.34,168.14,168.41,165.67,23505.0
20241106,168.75,164.72,168.93,163.6,49066.0
20241107,164.96,164.48,165.17,163.47,34484.0
20241108,164.7,165.11,165.82,163.64,32120.0
20241111,165.21,164.5,166.15,163.98,22881.0
20241112,164.5,164.34,165.0,163.15,32431.0
20241113,164.0,164.97,164.98,162.37,28478.0
20241114,165.0,164.5,166.89,163.83,38379.0
20241115,164.72,159.0,165.15,158.05,64357.0
20241118,158.52,158.2,159.85,157.76,38798.0
20241119,159.01,157.25,159.01,155.85,45900.0
20241120,157.06,158.85,159.44,156.2,30768.0
20241121,158.8,160.46,160.85,157.95,32387.0
20241122,160.81,161.72,162.2,159.89,36970.0
20241125,162.01,162.04,163.59,162.0,56838.0
20241126,163.23,162.16,163.68,161.9,33021.0
20241127,162.9,162.6,165.13,161.68,25563.0
20241129,162.69,163.49,163.59,160.95,18956.0
20241202,163.25,163.05,163.65,161.76,36554.0
20241203,163.01,161.72,163.18,161.42,29879.0
20241204,161.8,160.18,162.2,159.41,46909.0
20241205,160.35,160.49,161.01,158.83,35156.0
20241206,159.85,157.8,160.8,157.54,54867.0
20241209,157.95,159.47,161.5,157.14,61350.0
20241210,159.6,159.7,160.42,157.35,37985.0
20241211,159.08,156.92,160.52,156.26,50850.0
20241212,157.54,157.81,159.6,156.92,41471.0
20241213,158.24,158.0,159.57,157.06,26557.0
20241216,158.29,155.9,158.82,155.78,45537.0
20241217,156.21,156.0,158.5,155.24,47345.0
20241218,156.14,154.2,156.2,154.01,54895.0
20241219,154.15,151.21,155.45,150.99,57211.0
20241220,151.01,152.8,153.62,150.5,133608.0
20241223,153.0,151.1,153.0,149.7,40506.0
20241224,151.42,152.52,152.9,150.41,24632.0
20241226,152.29,152.6,153.18,152.05,24920.0
20241227,152.01,153.19,153.47,151.19,30800.0
20241230,153.26,152.0,153.32,151.09,33383.0
20241231,151.75,152.06,153.15,150.94,29755.0
20250102,153.0,150.66,153.66,149.89,33145.0
20250103,150.44,149.61,150.96,149.56,37784.0
20250106,149.92,146.88,150.5,146.1,69715.0
20250107,147.04,145.73,147.97,145.34,57013.0
20250108,145.79,146.06,146.74,144.56,46115.0
20250110,147.1,142.63,147.35,141.51,72938.0
20250113,142.97,144.7,145.14,142.14,55666.0
20250114,144.7,145.1,145.5,143.56,44336.0
20250115,145.48,144.79,146.99,144.17,46366.0
20250116,145.01,146.3,146.79,143.69,35731.0
20250117,146.72,148.51,148.62,146.29,54281.0
20250121,149.5,148.52,149.78,147.65,49999.0
20250122,148.43,148.15,149.45,147.79,37242.0
20250123,148.41,149.0,149.0,146.61,31981.0
20250124,148.95,149.3,149.5,148.13,33260.0
20250127,149.14,154.01,155.47,149.14,63835.0
20250128,154.62,150.4,154.62,150.0,41867.0
20250129,150.71,151.0,152.0,150.23,29347.0
20250130,151.0,151.3,153.08,150.63,27660.0
20250131,151.82,150.39,152.16,150.27,32953.0
20250203,150.21,150.01,151.4,148.83,47110.0
20250204,150.22,144.2,150.5,143.0,94856.0
20250205,143.76,145.83,145.83,142.7,63885.0
20250206,145.79,145.73,147.06,143.96,38412.0
20250207,145.47,144.7,145.79,143.9,37328.0
20250210,144.77,144.35,145.41,143.01,56308.0
20250211,144.51,145.6,145.78,143.4,42187.0
20250212,145.99,144.22,146.0,143.03,46606.0
20250213,144.4,144.73,144.94,143.6,47972.0
20250214,145.1,143.5,146.17,143.33,37135.0
20250218,144.31,144.4,144.4,141.6,50054.0
