datetime,open,close,high,low,volume
20240625,849.9,855.49,855.9,845.0,21680.0
20240626,857.13,856.79,859.74,850.06,21992.0
20240627,857.94,850.85,859.69,848.64,15508.0
20240628,852.08,849.95,857.24,846.81,29088.0
20240701,851.52,845.0,856.0,840.5,32118.0
20240702,844.5,858.11,860.36,843.08,18588.0
20240703,858.6,861.56,863.52,855.0,10680.0
20240705,863.4,885.02,886.94,858.72,41208.0
20240708,884.62,881.75,889.0,877.66,20019.0
20240709,880.5,887.25,896.67,880.5,16273.0
20240710,889.99,906.7,926.07,880.7,23363.0
20240711,909.99,848.99,915.0,846.2,81539.0
20240712,851.02,842.52,854.55,838.38,41862.0
20240715,846.06,850.0,857.9,844.67,27701.0
20240716,850.0,849.52,852.0,841.34,20611.0
20240717,846.0,847.87,849.95,842.65,22733.0
20240718,846.74,840.0,855.3,825.11,27633.0
20240719,834.98,837.75,848.88,834.98,19225.0
20240722,840.6,847.17,849.59,838.6,23287.0
20240723,848.38,850.4,854.58,845.57,17381.0
20240724,847.47,833.5,848.7,829.5,28606.0
20240725,834.9,816.26,836.65,814.28,24556.0
20240726,817.8,818.79,822.28,809.01,18568.0
20240729,821.0,815.56,823.74,814.09,17702.0
20240730,816.0,809.03,822.0,803.28,22615.0
20240731,814.87,822.0,825.48,811.27,28678.0
20240801,823.0,817.5,825.0,809.68,25533.0
20240802,811.0,820.5,830.29,805.01,33646.0
20240805,792.24,805.0,812.03,792.24,39046.0
20240806,810.0,816.88,833.09,805.0,35482.0
20240807,824.5,807.55,833.83,807.55,23494.0
20240808,815.0,838.9,842.76,811.0,33446.0
20240809,840.18,854.99,857.78,837.24,21222.0
20240812,855.0,863.57,870.25,852.4,23634.0
20240813,865.9,864.82,868.05,856.16,20582.0
20240814,862.18,862.71,866.74,858.5,18460.0
20240815,867.0,877.3,880.33,865.0,28480.0
20240816,876.0,869.25,877.35,868.62,19192.0
20240819,871.6,872.0,873.63,868.7,14862.0
20240820,872.0,876.0,876.76,871.17,13910.0
20240821,881.0,881.75,891.12,877.22,18913.0
20240822,882.15,878.0,884.0,873.18,13327.0
20240823,880.8,879.21,884.56,871.66,19642.0
20240826,882.0,892.33,893.25,878.58,20310.0
20240827,893.45,909.95,918.93,887.07,27074.0
20240828,910.0,890.05,912.22,881.65,19465.0
20240829,895.89,888.01,900.46,885.17,23735.0
20240830,892.0,893.0,896.33,883.1,28816.0
20240903,893.0,880.0,896.89,874.44,23440.0
20240904,874.98,890.02,891.76,874.97,17605.0
20240905,890.11,885.01,890.11,868.7,25497.0
20240906,883.97,875.95,893.2,871.0,29216.0
20240909,878.5,897.0,898.84,878.5,26956.0
20240910,895.1,893.9,900.69,887.52,17461.0
20240911,894.01,899.49,902.0,877.87,24959.0
20240912,902.0,915.03,915.7,896.51,22283.0
20240913,915.87,915.54,923.83,909.36,16133.0
20240916,918.0,909.41,922.63,905.35,21125.0
20240917,911.32,900.33,911.33,895.45,17602.0
20240918,899.5,896.42,904.98,890.94,18249.0
20240919,902.29,900.74,905.13,895.5,25222.0
20240920,902.51,906.5,907.81,895.7,75609.0
20240923,906.68,919.03,919.9,900.78,24811.0
20240924,918.15,902.5,918.15,897.53,28858.0
20240925,903.6,908.07,910.36,901.12,23120.0
20240926,912.0,888.53,918.5,885.5,34188.0
20240927,891.2,884.99,895.0,874.0,45465.0
20240930,885.31,887.63,910.0,881.41,29319.0
20241001,887.25,876.07,888.0,872.75,23164.0
20241002,878.0,878.53,881.23,867.16,16974.0
20241003,879.5,877.53,881.18,872.66,19316.0
20241004,879.0,882.36,884.29,875.25,18131.0
20241007,881.66,873.59,887.71,872.32,22098.0
20241008,873.0,889.97,891.31,873.0,18056.0
