datetime,open,close,high,low,volume
20240625,318.33,319.0,326.12,315.0,55606.0
20240626,317.49,312.82,317.49,311.72,45620.0
20240627,312.21,313.69,316.79,309.0,33875.0
20240628,313.69,312.45,316.68,310.59,56240.0
20240701,312.45,310.46,319.0,310.23,30153.0
20240702,310.29,310.77,312.43,307.64,24865.0
20240703,311.49,309.38,312.54,306.11,16576.0
20240705,308.0,310.88,313.41,308.0,22098.0
20240708,310.14,311.46,315.48,310.14,17199.0
20240709,313.0,315.35,316.09,307.63,30677.0
20240710,316.5,323.0,323.0,314.63,37169.0
20240711,323.0,326.35,327.99,320.12,38036.0
20240712,325.09,330.83,333.85,325.09,32640.0
20240715,331.88,330.34,332.81,327.87,28073.0
20240716,330.46,333.1,335.91,328.0,30414.0
20240717,330.0,335.9,337.06,326.9,33385.0
20240718,336.0,331.07,338.98,330.67,32278.0
20240719,332.99,331.29,333.98,328.43,29978.0
20240722,336.5,336.3,337.09,332.47,26425.0
20240723,336.11,333.8,337.04,331.31,17567.0
20240724,333.0,336.62,337.18,330.34,45408.0
20240725,336.62,334.3,346.85,333.02,39225.0
20240726,336.0,335.0,338.94,333.28,22627.0
20240729,336.0,332.5,336.0,331.29,26994.0
20240730,333.0,331.84,338.57,331.67,24845.0
20240731,336.2,330.65,338.66,330.57,35568.0
20240801,331.51,333.8,340.89,330.75,38469.0
20240802,335.32,332.5,338.35,325.73,31578.0
20240805,345.27,325.22,345.27,321.41,49140.0
20240806,327.62,322.0,332.98,318.0,36533.0
20240807,322.65,311.5,324.97,306.59,78374.0
20240808,315.0,324.69,326.0,312.79,45413.0
20240809,324.01,322.49,325.04,319.32,30936.0
20240812,323.62,320.0,323.9,317.93,24887.0
20240813,320.59,323.45,324.0,319.17,27182.0
20240814,322.02,322.73,324.36,319.56,29308.0
20240815,322.08,325.39,327.16,321.94,29752.0
20240816,324.8,321.44,324.82,320.5,24666.0
20240819,322.38,327.97,328.18,321.41,18686.0
20240820,327.97,328.55,330.5,326.62,21770.0
20240821,329.55,329.15,330.99,327.91,17322.0
20240822,329.5,324.53,329.5,323.12,32631.0
20240823,326.0,328.31,331.29,325.38,27019.0
20240826,330.2,326.78,330.26,325.5,21862.0
20240827,325.8,326.93,329.83,324.75,23711.0
20240828,327.91,330.97,330.98,325.37,22295.0
20240829,331.41,330.81,334.27,329.25,17205.0
20240830,331.99,333.83,335.66,330.3,30276.0
20240903,331.64,330.99,333.14,329.1,35686.0
20240904,328.67,329.86,331.1,327.59,24801.0
20240905,330.2,326.28,331.86,321.91,20042.0
20240906,323.53,320.56,326.97,319.0,33264.0
20240909,322.08,325.92,327.81,320.1,25258.0
20240910,326.49,328.69,329.23,322.39,22894.0
20240911,328.94,329.98,330.65,320.3,24146.0
20240912,331.29,329.75,332.38,326.41,26290.0
20240913,330.59,332.45,334.45,327.15,19177.0
20240916,333.01,335.26,337.56,332.91,34072.0
