datetime,open,close,high,low,volume
20240625,227.0,217.59,227.06,216.97,26426.0
20240626,217.65,218.78,219.16,215.86,17122.0
20240627,218.01,219.65,220.32,218.0,18278.0
20240628,220.0,221.25,221.56,218.37,61083.0
20240701,220.9,213.51,220.9,213.48,16449.0
20240702,213.12,213.7,214.85,211.8,14496.0
20240703,213.99,213.47,217.0,213.05,9925.0
20240705,213.8,213.89,214.84,212.53,11633.0
20240708,214.83,217.15,218.3,214.79,21101.0
20240709,217.99,216.33,217.99,215.2,17570.0
20240710,217.27,220.74,220.91,216.89,13222.0
20240711,221.0,229.88,229.98,221.0,19028.0
20240712,230.0,233.79,238.06,229.76,20338.0
20240715,235.26,232.17,235.6,230.63,12271.0
20240716,232.82,240.97,241.01,232.1,15893.0
20240717,239.03,243.39,245.63,237.48,27781.0
20240718,242.95,239.37,246.97,237.9,17685.0
20240719,239.0,237.1,241.04,237.1,18323.0
20240722,239.45,240.27,241.4,236.57,13890.0
20240723,241.09,238.31,241.98,237.52,14887.0
20240724,236.0,232.99,239.09,231.45,16036.0
20240725,231.82,235.77,238.68,231.04,13299.0
20240726,238.0,238.87,242.52,235.91,11891.0
20240729,241.79,239.8,241.79,237.33,13830.0
20240730,240.19,240.94,242.38,238.3,9611.0
20240731,243.0,245.95,248.99,241.24,18913.0
20240801,246.5,239.87,248.27,239.02,12265.0
20240802,241.1,240.03,241.1,235.2,14298.0
20240805,236.95,237.02,240.99,230.0,21717.0
20240806,235.67,240.65,244.21,235.67,16090.0
20240807,243.29,231.59,243.34,231.1,20677.0
20240808,230.87,236.33,236.81,230.42,14098.0
20240809,235.78,236.0,237.75,234.3,11242.0
20240812,234.95,231.5,234.95,229.38,16445.0
20240813,228.29,236.18,236.79,224.1,18444.0
20240814,236.14,236.71,239.65,235.78,14160.0
20240815,238.0,240.21,242.94,238.0,23377.0
20240816,239.98,241.8,242.5,239.14,10818.0
20240819,242.99,242.7,243.54,240.15,17896.0
20240820,243.3,240.36,246.86,238.0,25379.0
20240821,241.0,242.9,242.9,239.85,16224.0
20240822,244.37,240.31,244.37,239.68,12231.0
20240823,241.15,249.95,251.23,240.4,16930.0
20240826,251.17,250.4,253.2,249.39,13378.0
20240827,250.04,247.92,250.04,247.62,8690.0
20240828,248.48,248.94,250.43,246.92,8932.0
20240829,250.0,247.2,250.75,246.38,11492.0
20240830,247.84,248.5,249.06,245.4,16224.0
20240903,247.0,245.0,249.44,243.62,17234.0
20240904,243.5,245.45,245.84,242.1,14629.0
20240905,245.71,243.5,246.35,241.59,14200.0
20240906,243.0,242.36,247.46,242.36,13392.0
20240909,245.25,245.0,245.74,242.33,11286.0
20240910,244.59,247.38,248.38,242.61,14436.0
20240911,245.06,247.17,247.84,240.0,11528.0
20240912,246.62,251.55,253.28,246.62,12270.0
20240913,252.9,255.41,257.41,252.61,14383.0
20240916,255.8,256.81,258.13,254.22,10415.0
20240917,256.64,256.27,259.49,255.06,8135.0
20240918,257.92,256.63,261.97,255.55,10578.0
20240919,260.48,261.0,262.51,259.55,15800.0
20240920,260.84,260.0,261.55,257.95,30071.0
20240923,260.8,262.29,262.46,258.28,13411.0
20240924,265.6,266.25,268.09,262.87,22451.0
20240925,265.71,265.03,266.6,262.16,11145.0
20240926,266.84,265.61,266.84,259.29,15149.0
20240927,268.61,266.94,268.71,265.74,8413.0
20240930,268.0,270.84,271.28,267.07,12811.0
20241001,270.8,272.29,274.16,268.22,17428.0
20241002,272.65,271.86,272.9,270.75,15887.0
20241003,271.2,270.4,272.3,268.62,10817.0
20241004,271.49,267.51,271.5,263.16,13243.0
20241007,267.52,268.7,269.91,263.59,14983.0
20241008,269.5,273.5,274.26,269.25,12088.0
20241009,273.68,277.5,279.0,273.28,16366.0
20241010,276.0,273.26,276.32,270.99,11037.0
20241011,273.3,275.06,276.73,273.3,8169.0
20241014,275.77,280.73,281.4,275.5,10662.0
20241015,281.01,284.03,287.01,280.73,13812.0
20241016,280.51,284.05,284.4,280.51,11716.0
20241017,284.5,281.31,285.24,281.01,10531.0
20241018,282.5,281.5,282.65,279.09,12393.0
20241021,281.25,277.85,282.7,275.67,17576.0
