datetime,open,close,high,low,volume
20240626,173.22,171.83,173.22,170.41,18816.0
20240627,171.5,170.89,172.5,170.48,20127.0
20240628,171.04,172.95,173.46,170.53,28014.0
20240701,172.55,175.05,176.7,172.5,21317.0
20240702,174.46,177.4,177.51,174.32,17895.0
20240703,178.0,175.5,178.0,175.17,12163.0
20240705,175.8,175.6,176.09,173.95,14250.0
20240708,175.61,178.3,178.59,175.61,16008.0
20240709,177.71,176.52,178.16,175.58,17221.0
20240710,176.66,177.84,178.22,174.45,23956.0
20240711,178.28,178.1,179.44,176.62,18137.0
20240712,178.33,182.83,184.16,178.23,33092.0
20240715,182.9,182.71,184.9,182.37,19628.0
20240716,183.09,185.6,186.6,183.09,24092.0
20240717,185.19,187.47,187.94,184.39,28594.0
20240718,186.54,185.45,189.47,185.07,24348.0
20240719,185.0,183.01,187.0,181.95,24192.0
20240722,183.59,184.14,184.97,182.86,15221.0
20240723,184.46,183.99,185.38,183.01,14460.0
20240724,183.33,189.45,194.56,182.07,51410.0
20240725,189.38,192.3,196.26,183.88,68186.0
20240726,193.0,191.8,193.57,189.62,29662.0
20240729,193.0,191.0,194.69,189.18,22509.0
20240730,190.9,190.75,192.77,189.0,20451.0
20240731,191.98,192.5,194.55,189.99,36560.0
20240801,191.56,189.66,193.64,188.29,28249.0
20240802,188.0,188.74,189.57,185.7,31434.0
20240805,183.21,184.7,185.72,181.79,35520.0
20240806,184.29,186.79,188.9,183.47,24511.0
20240807,188.4,186.0,189.87,185.98,25725.0
20240808,186.5,192.84,192.88,186.0,25875.0
20240809,190.46,191.7,192.63,189.04,18178.0
20240812,191.5,189.48,191.7,189.0,14801.0
20240813,189.43,191.5,191.53,189.21,14129.0
20240814,191.41,192.02,193.09,190.73,13662.0
20240815,192.3,194.24,194.34,192.3,15948.0
20240816,194.5,193.7,194.5,192.86,15297.0
20240819,194.02,194.4,195.53,193.71,16946.0
20240820,194.3,195.98,196.21,193.75,12299.0
20240821,196.25,197.21,197.33,194.11,17562.0
20240822,197.4,195.96,197.92,195.57,11792.0
20240823,196.25,196.1,197.38,194.39,12877.0
20240826,195.66,197.98,198.35,194.47,18139.0
20240827,197.78,198.6,199.4,196.97,19323.0
20240828,198.19,198.01,200.0,197.49,16861.0
20240829,198.6,199.1,201.12,198.27,21041.0
20240830,199.4,202.15,202.17,198.73,36813.0
20240903,202.68,201.02,204.72,200.21,26421.0
20240904,200.59,204.0,204.47,200.5,20021.0
20240905,203.98,202.79,205.95,200.96,21937.0
20240906,201.21,200.0,204.1,199.33,24376.0
20240909,201.2,203.59,205.05,200.64,25777.0
20240910,203.5,205.31,205.83,202.87,21583.0
20240911,205.38,209.88,210.39,203.04,41208.0
20240912,209.7,211.79,212.65,208.26,33210.0
20240913,212.39,214.79,216.09,211.98,33096.0
20240916,214.34,217.15,217.9,214.0,27921.0
20240917,217.5,214.13,218.84,213.0,31098.0
20240918,214.5,215.29,216.86,213.59,24228.0
20240919,216.15,213.5,218.48,210.37,37361.0
20240920,213.99,217.7,217.85,213.6,64415.0
20240923,217.18,220.4,220.69,217.14,27978.0
20240924,220.95,220.97,221.19,218.16,22595.0
20240925,221.0,221.46,221.85,220.16,15883.0
20240926,221.89,223.77,224.0,221.35,17699.0
20240927,223.23,220.25,224.15,220.0,26406.0
20240930,220.84,221.08,221.43,219.02,23730.0
20241001,220.29,218.65,221.1,216.02,23252.0
20241002,218.96,220.09,220.2,215.79,22573.0
20241003,218.88,222.51,222.83,218.0,26615.0
20241004,222.4,225.99,226.08,221.9,23282.0
20241007,225.0,227.12,227.67,225.0,22778.0
20241008,227.13,228.62,229.35,226.5,21296.0
20241009,228.25,234.7,234.99,228.15,35578.0
20241010,234.05,233.05,235.83,231.81,21658.0
20241011,233.02,232.7,233.49,230.0,23788.0
20241014,233.5,235.58,236.12,233.0,17012.0
20241015,235.9,232.96,237.37,232.59,22232.0
20241016,232.89,233.44,233.98,231.12,18098.0
20241017,233.25,233.05,233.25,230.65,21518.0
20241018,233.11,232.4,233.11,230.17,32939.0
20241021,231.5,232.7,234.0,230.26,18140.0
20241022,231.5,232.25,232.97,230.67,19241.0
20241023,232.0,226.95,233.86,214.0,39812.0
20241024,225.3,218.33,225.7,216.16,76681.0
20241025,218.65,214.55,218.8,214.38,58268.0
20241028,215.72,212.69,216.25,212.0,36292.0
20241029,212.5,210.45,213.34,209.85,38123.0
