datetime,open,close,high,low,volume
20240625,132.0,132.88,134.63,132.0,47371.0
20240626,133.2,131.0,133.43,131.0,56418.0
20240627,131.51,130.5,132.29,126.78,90691.0
20240628,130.06,125.0,130.97,120.87,364697.0
20240701,124.87,127.22,129.19,124.5,90766.0
20240702,127.83,127.0,128.24,126.66,42621.0
20240703,128.23,125.8,128.23,125.3,31217.0
20240705,125.79,125.59,126.6,124.91,52786.0
20240708,126.92,125.65,127.46,125.33,44449.0
20240709,125.6,126.3,126.3,123.7,47872.0
20240710,125.72,127.09,127.64,125.72,35065.0
20240711,127.39,129.25,129.25,126.71,54323.0
20240712,129.22,127.76,130.54,127.32,46661.0
20240715,127.76,128.3,128.34,127.2,47678.0
20240716,128.11,125.3,129.03,125.0,62294.0
20240717,125.44,126.4,126.69,124.56,59185.0
20240718,126.01,124.25,126.02,122.37,71359.0
20240719,124.62,125.15,126.99,123.97,51673.0
20240722,125.98,125.46,126.49,125.03,28642.0
20240723,125.65,124.01,125.65,124.01,31825.0
20240724,124.22,125.92,126.17,124.05,44564.0
20240725,125.99,125.8,127.85,125.71,56064.0
20240726,126.0,125.26,128.73,125.02,47094.0
20240729,125.77,128.0,128.0,124.92,70838.0
20240730,128.7,115.34,130.5,113.91,301186.0
20240731,115.89,112.99,117.84,112.22,190438.0
20240801,113.24,113.5,114.47,111.4,109170.0
20240802,113.9,115.54,117.3,113.6,124105.0
20240805,112.0,112.4,116.18,111.34,98524.0
20240806,112.95,111.0,113.08,110.92,75892.0
20240807,111.89,112.27,112.55,110.72,76132.0
20240808,112.26,114.0,114.23,112.24,61145.0
20240809,114.8,114.46,114.8,112.87,46010.0
20240812,114.64,113.2,114.93,113.11,50390.0
20240813,113.69,114.24,114.87,112.84,71774.0
20240814,114.24,113.5,114.39,111.51,81381.0
20240815,114.04,113.3,114.5,112.56,74530.0
20240816,113.59,113.6,114.5,112.62,74289.0
20240819,113.65,114.55,114.6,113.31,46985.0
20240820,114.83,115.19,115.3,114.55,41721.0
20240821,115.16,116.02,116.6,114.5,61077.0
20240822,116.09,116.55,116.72,115.22,52339.0
20240823,116.94,116.5,117.09,115.92,46303.0
20240826,116.68,116.5,117.9,116.16,43660.0
20240827,116.39,116.49,116.77,115.25,40596.0
20240828,116.26,117.27,118.02,116.23,38912.0
20240829,117.07,117.46,118.4,116.79,55341.0
20240830,117.13,118.29,118.75,117.13,63191.0
20240903,118.45,116.4,118.84,116.39,55938.0
20240904,116.57,115.63,116.73,114.47,55848.0
20240905,115.99,118.54,120.07,115.87,87285.0
20240906,118.0,117.36,120.3,117.36,63733.0
20240909,116.0,115.2,118.26,112.0,119108.0
20240910,115.2,115.0,116.09,113.33,59555.0
20240911,115.9,114.5,115.9,114.27,52564.0
20240912,114.81,115.08,115.51,114.04,53594.0
20240913,115.43,116.0,116.77,115.0,49079.0
20240916,115.77,117.97,118.37,115.52,53200.0
20240917,118.3,118.29,119.24,117.73,42378.0
20240918,118.25,118.97,119.38,117.87,47402.0
20240919,119.36,117.06,119.49,116.29,67418.0
20240920,117.69,117.26,117.69,116.41,155049.0
20240923,117.66,115.3,118.16,115.25,50488.0
20240924,115.7,114.99,116.26,114.32,77825.0
20240925,115.03,115.1,116.02,114.4,57190.0
20240926,114.88,112.99,115.06,112.93,86498.0
20240927,113.59,113.65,114.34,113.0,96582.0
20240930,113.68,113.2,114.01,112.7,79465.0
20241001,113.46,114.5,114.79,113.11,54041.0
20241002,114.68,112.06,114.96,111.49,69457.0
20241003,111.84,110.01,112.24,109.82,67029.0
20241004,110.27,109.6,110.38,109.25,65883.0
20241007,109.92,108.41,110.98,108.18,66576.0
20241008,108.58,108.6,108.75,107.81,62179.0
20241009,108.69,110.4,110.41,108.2,66846.0
20241010,110.52,109.39,110.84,109.1,46390.0
20241011,109.38,109.5,109.92,107.9,69317.0
20241014,110.06,109.69,110.07,108.68,55170.0
20241015,109.72,111.46,111.58,109.05,68495.0
20241016,111.38,110.6,111.79,109.02,67831.0
20241017,110.55,109.38,111.23,109.2,65836.0
20241018,109.9,108.52,109.92,108.51,70831.0
20241021,109.0,106.19,109.17,106.18,76657.0
20241022,106.35,106.45,106.9,105.71,68094.0
20241023,107.48,106.6,107.48,106.2,56193.0
20241024,106.7,105.81,106.96,105.26,66013.0
20241025,106.01,104.05,106.49,103.04,68723.0
20241028,104.59,104.35,105.09,103.93,49068.0
20241029,104.97,104.0,105.11,103.7,60034.0
20241030,103.88,105.2,105.2,102.9,99192.0
20241031,105.2,102.01,106.5,98.6,131724.0
20241101,102.33,101.88,102.76,101.21,65544.0
20241104,102.05,101.8,102.53,100.94,72613.0
20241105,101.92,102.44,102.8,100.52,50840.0
20241106,103.0,100.73,104.0,100.6,70401.0
20241107,101.18,101.28,101.69,100.85,59162.0
20241108,101.5,103.15,103.23,101.0,72441.0
20241111,103.01,100.65,103.4,100.46,77574.0
20241112,100.89,98.72,101.12,98.5,82596.0
20241113,98.63,98.6,99.45,97.9,69393.0
20241114,98.72,98.38,99.4,97.95,62725.0
20241115,98.1,96.5,98.15,94.48,126094.0
20241118,96.17,96.57,97.29,95.42,93128.0
20241119,96.47,96.25,98.29,95.26,95922.0
20241120,96.98,97.42,98.84,96.5,78813.0
20241121,97.4,99.86,100.48,96.95,111983.0
20241122,100.21,99.45,101.79,98.93,107039.0
20241125,99.39,101.29,101.79,99.39,279130.0
20241126,101.72,101.68,101.8,99.7,65632.0
20241127,101.8,102.81,103.45,101.3,70966.0
20241129,102.89,101.64,103.3,101.53,45636.0
20241202,101.46,100.66,101.98,100.46,65785.0
20241203,100.62,101.5,102.45,100.59,79233.0
20241204,102.59,101.35,102.99,101.05,76676.0
20241205,101.62,104.24,104.3,101.34,90677.0
20241206,104.2,103.4,104.2,102.69,73912.0
20241209,103.19,103.81,105.07,102.33,91640.0
20241210,104.34,100.81,104.86,100.74,81947.0
20241211,101.05,99.75,101.45,99.26,119632.0
20241212,99.92,101.25,103.0,99.74,74738.0
20241213,101.26,102.05,102.57,100.53,77665.0
20241216,101.25,100.24,102.3,99.0,87423.0
20241217,100.0,100.1,100.8,99.31,99375.0
20241218,100.34,98.0,102.0,98.0,86316.0
20241219,97.86,99.9,99.94,97.75,89546.0
20241220,99.05,98.99,99.68,97.9,197685.0
20241223,98.3,98.71,99.59,98.05,64894.0
20241224,99.14,99.55,99.64,98.79,26997.0
20241226,99.1,99.75,99.94,98.92,33648.0
20241227,99.95,99.71,100.35,99.24,48238.0
20241230,99.7,98.24,100.01,98.17,51965.0
20241231,98.75,99.61,99.75,98.11,50929.0
20250102,99.91,99.0,100.35,98.83,45099.0
20250103,99.99,99.0,99.99,98.69,46096.0
20250106,99.14,99.87,100.33,98.42,70165.0
20250107,100.02,100.37,102.97,99.83,75778.0
20250108,100.79,99.89,102.0,98.05,66650.0
20250110,99.85,99.39,100.41,98.81,58024.0
20250113,99.01,100.99,101.16,98.96,56724.0
20250114,100.94,99.79,101.55,99.01,73512.0
20250115,99.78,100.07,100.82,99.25,62630.0
20250116,99.37,100.52,100.9,99.31,54895.0
20250117,100.73,98.06,100.73,97.84,123773.0
20250121,98.13,96.24,98.3,95.76,130070.0
20250122,96.44,95.63,97.0,95.15,100996.0
20250123,95.9,96.63,97.16,95.22,93087.0
20250124,96.64,95.63,97.3,95.4,97983.0
20250127,95.71,97.89,98.62,95.5,117816.0
20250128,97.54,97.55,98.88,96.59,99557.0
20250129,97.45,98.25,99.15,96.97,83291.0
20250130,98.33,99.1,99.85,98.23,80518.0
20250131,99.38,99.14,100.06,98.5,85083.0
20250203,98.25,99.78,100.48,97.51,100631.0
20250204,99.78,90.5,100.5,87.33,401937.0
20250205,90.55,89.65,90.9,87.99,173645.0
20250206,89.68,88.03,90.17,87.84,153777.0
20250207,88.48,87.28,88.68,87.03,130206.0
20250210,87.8,86.49,87.98,86.26,121383.0
20250211,86.54,86.55,86.99,85.73,144107.0
20250212,86.51,85.78,86.89,85.61,120189.0
20250213,85.97,84.5,86.27,84.31,155127.0
20250214,84.56,83.02,84.78,82.09,200317.0
20250218,83.36,83.29,83.73,80.8,191046.0
20250219,83.61,85.59,85.63,82.85,131672.0
20250220,85.5,87.83,87.86,85.26,120874.0
20250221,87.79,89.34,89.53,87.01,125494.0
20250224,89.59,91.35,91.85,88.93,143219.0
20250225,91.65,91.45,93.06,90.44,137522.0
20250226,91.34,89.2,91.37,88.86,104713.0
20250227,89.55,90.3,90.97,89.05,81220.0
20250228,90.0,92.15,92.35,90.0,118215.0
20250303,92.14,93.05,93.42,91.51,91551.0
20250304,93.06,92.7,95.36,92.3,115583.0
20250305,92.58,93.16,93.45,90.5,88292.0
20250306,93.15,93.95,94.3,91.78,79915.0
20250307,93.64,94.9,97.37,92.37,146668.0
20250310,94.59,95.82,97.0,94.11,131626.0
20250311,95.43,94.73,95.5,93.58,106153.0
20250312,94.93,93.5,96.5,92.85,82320.0
20250313,93.15,95.0,96.34,93.15,78769.0
20250314,95.11,94.66,95.11,93.45,94760.0
20250317,93.84,94.8,95.3,93.08,81118.0
20250318,94.79,94.9,95.41,93.84,60394.0
20250319,94.69,94.03,95.43,93.64,75495.0
20250320,94.01,94.73,95.16,93.68,102037.0
20250321,94.6,93.5,94.71,93.07,602011.0
20250324,93.45,92.28,93.83,91.56,108467.0
20250325,92.01,88.07,92.92,87.08,153386.0
20250326,88.24,88.15,89.32,87.31,105845.0
20250327,88.29,87.69,88.61,87.38,84194.0
20250328,87.96,89.06,90.14,87.51,91007.0
20250331,89.46,89.0,90.27,88.37,113229.0
20250401,89.98,87.06,90.0,86.61,105004.0
20250402,87.1,86.18,87.56,85.32,81554.0
20250403,86.58,86.35,88.9,85.86,90573.0
20250404,86.18,81.6,86.27,81.08,156311.0
20250407,80.25,81.55,83.21,79.3,190870.0
20250408,82.64,78.68,84.47,77.54,145460.0
20250409,78.7,81.91,82.0,75.31,177403.0
20250410,81.0,77.56,82.14,75.96,137163.0
20250411,77.94,78.21,79.44,76.35,117919.0
20250414,79.29,79.51,80.15,78.36,121295.0
20250415,79.94,78.25,79.99,77.72,111051.0
20250416,78.31,76.41,78.72,75.93,118964.0
20250417,77.4,78.26,78.75,76.21,153059.0
20250421,78.03,78.0,78.19,76.99,77245.0
20250422,78.42,79.22,79.39,77.6,87360.0
20250423,79.73,78.85,80.2,78.0,125405.0
20250424,79.0,79.85,80.01,76.03,144191.0
20250425,80.19,82.55,83.28,78.06,215860.0
20250428,82.79,83.2,83.68,82.4,98294.0
20250429,83.44,84.7,85.69,82.75,102260.0
20250430,84.99,85.0,85.83,83.79,107204.0
20250501,85.08,83.1,85.21,83.09,78124.0
20250502,83.64,83.28,84.71,82.95,89127.0
20250505,83.01,82.84,83.58,81.91,67996.0
20250506,82.51,79.3,82.7,78.29,127301.0
20250507,79.5,78.2,79.9,77.0,91831.0
20250508,78.85,77.79,78.85,76.93,116731.0
20250509,77.9,76.2,78.45,75.82,111754.0
20250512,74.39,80.4,81.27,73.55,170230.0
20250513,80.36,77.1,80.36,76.4,174172.0
20250514,77.25,73.51,77.96,73.32,171375.0
20250515,74.0,74.9,74.9,73.31,120530.0
20250516,75.22,75.59,76.17,74.36,114465.0
20250519,75.73,77.3,77.3,75.55,91614.0
20250520,77.27,77.98,79.18,77.27,103688.0
20250521,78.06,76.81,78.34,76.81,95894.0
20250522,76.6,77.92,78.38,76.6,91490.0
20250523,77.99,77.7,78.19,77.08,73325.0
20250527,78.07,77.67,78.34,77.05,93118.0
20250528,77.22,76.5,77.81,75.59,94584.0
20250529,76.36,76.31,77.0,75.49,80877.0
20250530,76.52,76.91,77.56,75.59,141018.0
20250602,77.08,76.19,77.28,75.4,85946.0
20250603,76.23,77.02,77.19,75.43,138436.0
20250604,77.16,78.2,79.14,76.85,99003.0
20250605,78.51,77.52,78.85,77.2,86288.0
20250606,77.3,79.0,79.49,77.28,62974.0
20250609,79.38,79.25,81.29,78.67,89325.0
20250610,79.52,81.2,81.88,79.2,98772.0
20250611,81.57,80.25,81.8,79.98,85081.0
20250612,80.57,81.69,82.11,80.01,88661.0
20250613,81.05,82.14,82.44,81.05,100399.0
20250616,81.75,80.56,81.75,79.71,86290.0
20250617,80.93,77.96,80.93,77.91,93741.0
20250618,78.53,78.7,80.31,77.1,125332.0
