datetime,open,close,high,low,volume
20240625,159.2,159.75,161.33,156.45,340066
20240626,160.83,156.02,161.26,155.91,308126.0
20240627,156.35,159.99,160.61,156.1,276923.0
20240628,160.48,162.21,166.45,159.41,466771.0
20240701,162.6,157.0,164.3,153.64,418022.0
20240702,156.4,164.48,164.58,155.61,473790.0
20240703,164.02,163.6,165.26,162.51,222594.0
20240705,165.0,171.8,174.04,164.02,523734.0
20240708,172.93,179.49,179.49,171.9,493152.0
20240709,179.39,176.66,180.41,174.7,359634.0
20240710,177.15,183.54,187.28,176.87,777768.0
20240711,183.8,181.3,187.11,177.25,501550.0
20240712,180.34,182.26,186.99,179.45,423601.0
20240715,182.61,180.01,185.5,178.54,351139.0
20240716,179.45,177.0,180.53,174.53,331666.0
20240717,173.8,161.69,176.8,159.2,613834.0
20240718,163.84,156.75,164.27,153.2,559693.0
20240719,154.5,151.03,157.17,150.62,375192.0
20240722,153.0,154.3,156.7,152.25,366924.0
20240723,154.2,152.42,157.05,152.4,239510.0
20240724,152.29,145.9,153.68,144.53,389496.0
20240725,145.2,139.0,146.22,136.81,495075.0
20240726,140.6,140.0,142.3,138.27,365744.0
20240729,141.8,139.04,144.59,138.75,400393.0
20240730,139.86,149.02,151.5,134.05,567118.0
20240731,152.84,145.7,153.61,140.03,980041.0
20240801,145.25,132.02,147.29,130.24,785715.0
20240802,130.3,132.66,137.1,128.9,628775.0
20240805,129.0,138.16,139.14,115.6,606558.0
20240806,137.64,128.04,140.0,128.0,523331.0
20240807,131.0,127.45,136.24,127.0,440095.0
20240808,128.87,136.75,136.91,128.22,397259.0
20240809,136.52,134.25,138.14,132.44,337163.0
20240812,135.24,136.4,137.99,133.23,343345.0
20240813,138.0,141.13,141.38,134.9,356874.0
20240814,141.34,140.24,143.9,137.64,299082.0
20240815,140.97,147.1,147.96,140.42,359349.0
20240816,147.7,148.2,149.37,145.15,249878.0
20240819,148.0,154.89,155.52,147.07,512224.0
20240820,155.9,154.87,162.04,154.51,644482.0
20240821,155.75,158.0,158.65,155.07,352676.0
20240822,158.01,152.0,159.84,151.01,388372.0
20240823,152.75,154.71,156.4,151.83,368225.0
20240826,154.94,149.85,158.28,148.91,427877.0
20240827,150.2,149.48,151.7,148.44,294068.0
20240828,150.02,140.85,150.98,137.95,267606.0
20240829,143.5,146.0,149.49,142.0,260708.0
20240830,146.12,148.26,148.99,145.25,255188.0
20240903,148.54,137.13,149.0,136.1,335889.0
20240904,136.77,141.0,143.37,135.86,338856.0
20240905,141.35,138.64,141.71,137.5,193513.0
20240906,138.58,134.02,140.2,132.11,308898.0
20240909,135.12,138.8,138.87,134.86,207466.0
20240910,138.78,142.85,143.25,137.25,295966.0
20240911,142.39,149.1,150.31,140.71,416254.0
20240912,149.6,150.99,151.54,147.65,236695.0
20240913,151.51,152.08,153.03,150.7,205747.0
20240916,152.08,151.57,154.44,150.39,220932.0
20240917,152.15,150.2,155.0,149.22,232784.0
20240918,150.54,149.55,152.82,148.01,209332.0
20240919,152.48,156.99,159.25,151.24,358499.0
20240920,156.79,155.71,157.45,152.47,306400.0
20240923,157.07,156.42,157.57,154.97,160683.0
20240924,156.85,158.65,159.64,154.58,223458.0
20240925,158.0,163.88,163.88,157.0,287425.0
20240926,165.61,167.0,168.68,164.05,299103.0
20240927,166.01,164.13,168.73,163.74,198922.0
20240930,164.88,163.86,165.08,160.15,171638.0
20241001,164.08,159.0,165.45,158.08,247553.0
20241002,158.81,160.19,163.1,158.42,200486.0
20241003,159.28,162.9,166.79,158.0,242580.0
20241004,162.56,170.9,171.21,162.56,364051.0
20241007,170.8,170.91,172.92,168.21,313437.0
20241008,171.0,172.92,173.6,170.0,264764.0
20241009,173.08,170.76,174.98,169.55,272958.0
20241010,171.15,164.6,172.39,162.0,641668.0
20241011,164.95,167.16,169.35,163.01,343141.0
20241014,167.73,165.21,169.2,165.02,261870.0
20241015,164.38,156.79,165.25,155.74,410175.0
20241016,157.44,155.99,158.33,154.95,253998.0
20241017,159.25,156.78,161.24,156.02,239436.0
20241018,157.31,155.8,158.55,155.56,181519.0
20241021,156.0,157.7,158.35,154.15,209127.0
20241022,157.63,153.66,157.64,151.91,276303.0
20241023,153.8,153.38,153.9,150.52,211846.0
20241024,154.0,153.45,155.81,152.35,177386.0
20241025,153.96,156.1,158.91,153.76,223804.0
20241028,157.6,161.24,161.24,155.84,243876.0
20241029,161.99,153.57,169.3,152.82,569554.0
20241030,153.42,147.15,154.2,147.06,668089.0
20241031,146.16,144.86,148.68,143.33,355816.0
20241101,144.86,141.9,145.75,141.32,292661.0
20241104,142.15,140.39,143.64,139.72,226809.0
20241105,141.5,141.65,143.08,140.7,211883.0
20241106,144.6,144.72,145.63,141.52,258189.0
20241107,145.35,150.27,150.35,144.73,238208.0
20241108,150.67,148.14,151.55,147.52,217588.0
20241111,149.22,146.84,149.22,144.91,222158.0
20241112,146.84,143.25,147.74,141.55,254821.0
20241113,143.53,139.41,144.89,138.69,265838.0
20241114,140.0,138.45,141.4,138.38,221470.0
20241115,138.3,135.71,139.19,133.65,302431.0
20241118,137.57,139.13,140.9,135.23,279571.0
20241119,139.63,139.98,139.98,137.11,171030.0
20241120,139.99,137.17,140.77,134.88,208997.0
20241121,137.18,137.1,140.28,134.93,216576.0
20241122,138.0,138.52,139.13,136.5,160243.0
20241125,139.8,140.65,142.35,138.0,235535.0
20241126,141.17,137.5,143.32,136.62,258462.0
20241127,137.75,136.49,138.51,132.97,234603.0
20241129,137.75,137.26,138.59,135.78,123390.0
20241202,137.47,142.42,142.82,136.71,263656.0
20241203,142.9,142.31,144.21,141.08,169721.0
